Title,Artist,Nationality,Gender,Date,DateAcquired,URL,ThumbnailURL,Column
"Two Triple Cheese, Side Order of Fries",Joe Dea,(American),(Male),1979,1986-01-02,http://www.moma.org/collection/works/118272,,
The Complete Anne Frank,Dale Hoyt,(American),(Male),1985,1986-12-01,http://www.moma.org/collection/works/118280,http://www.moma.org/media/W1siZiIsIjIxNTc0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=553020d1eede212f,
I Do Not Know What It Is I Am Like,Bill Viola,(American),(Male),1986,1986-10-07,http://www.moma.org/collection/works/118287,http://www.moma.org/media/W1siZiIsIjE1MTY0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a68a8863ae6d5d09,
S.HE,Bill Seaman,(American),(Male),1983,1986-01-13,http://www.moma.org/collection/works/118288,http://www.moma.org/media/W1siZiIsIjEzNjA2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1efc9942c031a0de,
Berlin (West)/Andere Richtungen,Stuart Sherman,(American),(Male),1986,1987-07-14,http://www.moma.org/collection/works/118292,http://www.moma.org/media/W1siZiIsIjE1MTY0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=448bba89c9043853,
Trick or Drink,Vanalyne Green,(American),(Female),1984,1987-07-14,http://www.moma.org/collection/works/118294,,
Host,Kristin Lucas,(American),(Female),1997,1998-05-28,http://www.moma.org/collection/works/118296,http://www.moma.org/media/W1siZiIsIjEzNzY0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=da809d0d4f9063a1,
Homage to May 19th,Mary McFerran,(American),(Female),1984,1988-01-01,http://www.moma.org/collection/works/118297,,
The Double,Ken Feingold,(American),(Male),1984,1998-03-28,http://www.moma.org/collection/works/118305,http://www.moma.org/media/W1siZiIsIjIxNDU1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e730ba032db67ccb,
5 dim/MIND,Ken Feingold,(American),(Male),1983,1998-03-28,http://www.moma.org/collection/works/118306,http://www.moma.org/media/W1siZiIsIjIxNDU1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9cfc90725a75a8e7,
Fru-Fru Le Bon Weston Goes to the South Seas,Julie Zando,(American),(Female),1983,1990-04-09,http://www.moma.org/collection/works/118312,http://www.moma.org/media/W1siZiIsIjI1MDY5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9a42caff14789056,
How Big is Big?,Julie Zando,(American),(Female),1984,1990-04-09,http://www.moma.org/collection/works/118315,http://www.moma.org/media/W1siZiIsIjI1MDY5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3f83f80aa104bea3,
I Like Girls for Friends,Julie Zando,(American),(Female),1987,1990-04-09,http://www.moma.org/collection/works/118316,http://www.moma.org/media/W1siZiIsIjI1NTA0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=289361fb4c6b7997,
The A Ha! Experience,Julie Zando,(American),(Female),1988,1990-04-09,http://www.moma.org/collection/works/118317,http://www.moma.org/media/W1siZiIsIjE0ODIwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2f6af5998ef955e2,
Foto-Roman,Ken Kobland,(American),(Male),1990,2000-08-18,http://www.moma.org/collection/works/118323,http://www.moma.org/media/W1siZiIsIjE1MTY0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=89b2c9285bdc0334,
Volcano Saga,Joan Jonas,(American),(Female),1989,1992-12-15,http://www.moma.org/collection/works/118324,http://www.moma.org/media/W1siZiIsIjEzNjAyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=576e31495f367a3b,
Ballplayer,Chip Lord,(American),(Male),1986,1993-09-17,http://www.moma.org/collection/works/118342,http://www.moma.org/media/W1siZiIsIjI1MDcxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=13e82918685dbcf0,
Turn Here Sweet Corn,Helen De Michiel,(American),(Female),1990,1993-08-24,http://www.moma.org/collection/works/118360,http://www.moma.org/media/W1siZiIsIjIxNDU2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bcbf950ac4ca913c,
Big Market,Joan Jonas,(American),(Female),1984,1994-04-15,http://www.moma.org/collection/works/118367,http://www.moma.org/media/W1siZiIsIjEzNjAyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=402e137bc2e256c2,
He Saw Her Burning,Joan Jonas,(American),(Female),1983,1992-12-15,http://www.moma.org/collection/works/118371,http://www.moma.org/media/W1siZiIsIjEzNjAyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e981365396ad72ad,
Dance of Darkness,Edin Vélez,(American),(Male),1989,1998-04-23,http://www.moma.org/collection/works/118391,,
Fresh Acconci,Paul McCarthy,(American),(Male),1995,1999-08-15,http://www.moma.org/collection/works/118497,http://www.moma.org/media/W1siZiIsIjE1MTY4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5bd60e9523980156,
Heinz Ketchup,Paul McCarthy,(American),(Male),1974,1999-08-15,http://www.moma.org/collection/works/118498,http://www.moma.org/media/W1siZiIsIjI1MDczMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=31eee58a3c697ca2,
Female Sensibility,Lynda Benglis,(American),(Female),1973,1999-06-17,http://www.moma.org/collection/works/118499,http://www.moma.org/media/W1siZiIsIjE0ODAxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=109ad904496aa4bc,
Collage,Lynda Benglis,(American),(Female),1973,1999-06-17,http://www.moma.org/collection/works/118501,http://www.moma.org/media/W1siZiIsIjE0ODIwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1112948a7b3c0e88,
Bossy Burger,Paul McCarthy,(American),(Male),1991,1999-08-15,http://www.moma.org/collection/works/118503,http://www.moma.org/media/W1siZiIsIjI1NDk4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3d99b8e8debccf1d,
Sailor's Meat (Sailor's Delight),Paul McCarthy,(American),(Male),1975,1999-08-15,http://www.moma.org/collection/works/118504,http://www.moma.org/media/W1siZiIsIjI1MDczMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8d8fe608be06a280,
The Adventures of a Nurse,Eleanor Antin,(American),(Female),1976,1999-03-15,http://www.moma.org/collection/works/118510,http://www.moma.org/media/W1siZiIsIjEzNjAxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=99d62942ec3efbe9,
Painter,Paul McCarthy,(American),(Male),1995,1999-08-15,http://www.moma.org/collection/works/118515,http://www.moma.org/media/W1siZiIsIjI1NDk4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c0c70601f4acf6ca,
Babalu,Tony Labat,(American),(Male),1980,2000-10-15,http://www.moma.org/collection/works/118534,http://www.moma.org/media/W1siZiIsIjIyMDU2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0b581a18769321c3,
2@,Tony Cokes,(American),(Male),2000,2000-10-15,http://www.moma.org/collection/works/118546,http://www.moma.org/media/W1siZiIsIjIxNzQ4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2197adaf694d4919,
Casual Shopper,Judith Barry,(American),(Female),1981,2000-11-30,http://www.moma.org/collection/works/118547,http://www.moma.org/media/W1siZiIsIjIyMDU2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bcdce3cc5206d6f2,
A Prayer for Nettie,Donigan Cumming,(American),(Male),1995,2000-10-15,http://www.moma.org/collection/works/118552,http://www.moma.org/media/W1siZiIsIjE0ODIxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d54fb57919926991,
Art of Memory,Woody Vasulka,(American),(Male),1987,2000-01-01,http://www.moma.org/collection/works/118561,http://www.moma.org/media/W1siZiIsIjE1MTY5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5bac6288c42c9386,
"Vital Statistics of a Citizen, Simply Obtained",Martha Rosler,(American),(Female),1977,2000-08-18,http://www.moma.org/collection/works/118563,http://www.moma.org/media/W1siZiIsIjE1MTcwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7e728e5a50437833,
In the Present,Phyllis Baldino,(American),(Female),1996,2000-08-18,http://www.moma.org/collection/works/118564,http://www.moma.org/media/W1siZiIsIjE1MTcwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5041a4f03a249d4e,
"Fast Trip, Long Drop",Gregg Bordowitz,(American),(Male),1993,2000-10-15,http://www.moma.org/collection/works/118566,http://www.moma.org/media/W1siZiIsIjE0ODAzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=43ad45c351325e3d,
After Brenda,Donigan Cumming,(American),(Male),1997,2000-10-15,http://www.moma.org/collection/works/118567,http://www.moma.org/media/W1siZiIsIjE0ODIxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9dea6b2e79b4e5a0,
Snack and Drink,Bob Sabiston,(American),(Male),1999,2000-10-17,http://www.moma.org/collection/works/118570,http://www.moma.org/media/W1siZiIsIjIxMzk1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1b4d236ab42ce1a3,
Erratic Angel,Donigan Cumming,(American),(Male),1998,2000-10-15,http://www.moma.org/collection/works/118571,http://www.moma.org/media/W1siZiIsIjE0ODIxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8160534d10011862,
Cut the Parrot,Donigan Cumming,(American),(Male),1996,2000-10-15,http://www.moma.org/collection/works/118572,http://www.moma.org/media/W1siZiIsIjE0ODIxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=92aebb0678ca650e,
Karaoke,Donigan Cumming,(American),(Male),1998,2000-10-15,http://www.moma.org/collection/works/118573,http://www.moma.org/media/W1siZiIsIjE0ODIxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c7da9b5f3bdd0aa6,
if Only I,Donigan Cumming,(American),(Male),2000,2000-10-15,http://www.moma.org/collection/works/118585,http://www.moma.org/media/W1siZiIsIjE0ODIyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c5be6d7dd385da9b,
Nest of Tens,Miranda July,(American),(Female),2000,2000-10-10,http://www.moma.org/collection/works/118591,http://www.moma.org/media/W1siZiIsIjE1NzU1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d7562ee66e3c5e29,
C-Trend,Woody Vasulka,(American),(Male),1974,2000-01-01,http://www.moma.org/collection/works/118592,http://www.moma.org/media/W1siZiIsIjE1MTcwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3b91fb656bcfc03e,
Sorry for the Interruption,Robert Farber,(American),(Male),1994,2001-04-09,http://www.moma.org/collection/works/118594,http://www.moma.org/media/W1siZiIsIjI1MDc0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5e91f7d7029c55e1,
"East Broadway & Market Street, from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118616,http://www.moma.org/media/W1siZiIsIjIxNzQ4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=df9bf8b0971e44d2,
"2nd Street & 2nd Avenue, from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118617,http://www.moma.org/media/W1siZiIsIjIyMDU3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ae4efc0e5fefbe92,
"7th Avenue & 20th Street (1), from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118618,http://www.moma.org/media/W1siZiIsIjIyMDU3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=570a7a42b1ed28bf,
"11th Avenue & 23rd Street, from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118619,http://www.moma.org/media/W1siZiIsIjIyMDU3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a62b4072d3ba6a42,
"21st Street & 8th Avenue, from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118620,http://www.moma.org/media/W1siZiIsIjIyMDU3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e41833d08695c891,
"Avenue C & 22nd Street, from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118621,http://www.moma.org/media/W1siZiIsIjIyMDU4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=35fa4907d5e37da9,
"7th Street between 1st Avenue and Avenue A, from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118622,http://www.moma.org/media/W1siZiIsIjIyMDU4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c6d930b8f5289310,
"4th Avenue near 11th Street, from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118623,http://www.moma.org/media/W1siZiIsIjIyMDU4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=74e749a91205e94d,
"Broadway near 23rd Street (1), from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118624,http://www.moma.org/media/W1siZiIsIjIyMDU4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9c1cc3e7df860eda,
"14th Street near Avenue A, from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118625,http://www.moma.org/media/W1siZiIsIjIyMDU2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a8cd177062d1efee,
"FDR Drive & 23rd Street, from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118626,http://www.moma.org/media/W1siZiIsIjIyMDU2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d204d79e3bca63fd,
"Fifth Avenue near 19th Street, from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118627,http://www.moma.org/media/W1siZiIsIjIyMDU2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4d6357e63b5e1f6c,
"Broadway near 23rd Street (2), from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118628,http://www.moma.org/media/W1siZiIsIjIyMDU2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2d35e51fe187941d,
"7th Avenue & 20th Street (2), from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118629,http://www.moma.org/media/W1siZiIsIjIyMDU2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ee97bfce0f3df317,
"11th Avenue & 26th Street, from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118630,http://www.moma.org/media/W1siZiIsIjIyMDU3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d12bfadf9658b17e,
"Broadway near 32nd Street, from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118631,http://www.moma.org/media/W1siZiIsIjIyMDU3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c241185752552826,
"Canal Street near Eldridge Street, from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118632,http://www.moma.org/media/W1siZiIsIjIyMDU3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0ad092eec4687128,
"Division Street near Market Street, from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118633,http://www.moma.org/media/W1siZiIsIjIyMDU3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1ce6c21da694939a,
"23rd Street & 3rd Avenue, from 19 Rainstorms",Neil Goldberg,(American),(Male),2003,2005-07-15,http://www.moma.org/collection/works/118634,http://www.moma.org/media/W1siZiIsIjIyMDU3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3ed7b3934fe51461,
Nailed,Angel Velasco Shaw,(American),(Female),1992,2005-08-15,http://www.moma.org/collection/works/118635,http://www.moma.org/media/W1siZiIsIjIxNTc3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5485b4f8e0f1401d,
Soundings,Gary Hill,(American),(Male),1979,1994-07-25,http://www.moma.org/collection/works/119077,http://www.moma.org/media/W1siZiIsIjE1MTcwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b205dc3330548297,
Ancient of Days,Bill Viola,(American),(Male),1981,1982-10-18,http://www.moma.org/collection/works/119078,http://www.moma.org/media/W1siZiIsIjE1MTcxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=178de01afbcd074a,
"Free, White and 21",Howardena Pindell,(American),(Female),1980,2008-06-11,http://www.moma.org/collection/works/119105,http://www.moma.org/media/W1siZiIsIjE1MzkwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=679e83db9c0904bb,
How's Tricks,Lynda Benglis,(American),(Female),1976,2008-06-11,http://www.moma.org/collection/works/119300,http://www.moma.org/media/W1siZiIsIjE1MTU3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4b95e5d19731af48,
Monitor,Lynda Benglis,(American),(Female),1999,2008-06-11,http://www.moma.org/collection/works/119301,http://www.moma.org/media/W1siZiIsIjE1MTU2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e6c6a2041acb6b89,
The Amazing Bow Wow,Lynda Benglis,(American),(Female),1976,2008-06-11,http://www.moma.org/collection/works/119303,http://www.moma.org/media/W1siZiIsIjE1MTU3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=630bbbbbe51f6345,
